HCPC,SHORT DESCRIPTION,LONG DESCRIPTION
   QQ,Qualified cdsm consulted,Ordering professional consulted a qualified clinical decision support mechanism for this service and the related data was provided to the furnishing professional
   QR,Avg sta day/night o2 > 4 lpm,Prescribed amounts of stationary oxygen for daytime use while at rest and nighttime use differ and the average of the two amounts is greater than 4 liters per minute (lpm)
   QS,Monitored anesthesia care,Monitored anesthesia care service
   QT,Rcrdg/strg tape analog recdr,Recording and storage on tape by an analog tape recorder
   QW,Clia waived test,Clia waived test
   QX,Crna svc w/ md med direction,Crna service: with medical direction by a physician
   QY,Medically directed crna,Medical direction of one certified registered nurse anesthetist (crna) by an anesthesiologist
   QZ,Crna svc w/o med dir by md,Crna service: without medical direction by a physician
   RA,Replacement of dme item,"Replacement of a dme, orthotic or prosthetic item"
   RB,"Replacement part, dme item","Replacement of a part of a dme, orthotic or prosthetic item furnished as part of a repair"
   RC,Right coronary artery,Right coronary artery
   RD,Drug admin not incident-to,"Drug provided to beneficiary, but not administered ""incident-to"""
   RE,Furnish full compliance rems,Furnished in full compliance with fda-mandated risk evaluation and mitigation strategy (rems)
   RI,Ramus intermedius cor artery,Ramus intermedius coronary artery
   RR,Rental (dme),Rental (use the 'rr' modifier when dme is to be rented)
   RT,Right side,Right side (used to identify procedures performed on the right side of the body)
   SA,Nurse practitioner w physici,Nurse practitioner rendering service in collaboration with a physician
   SB,Nurse midwife,Nurse midwife
   SC,Medically necessary serv/sup,Medically necessary service or supply
   SD,Serv by home infusion rn,"Services provided by registered nurse with specialized, highly technical home infusion training"
   SE,State/fed funded program/ser,State and/or federally-funded programs/services
   SF,2nd opinion ordered by pro,"Second opinion ordered by a professional review organization (pro) per section 9401, p.l. 99-272 (100% reimbursement - no medicare deductible or coinsurance)"
   SG,Asc facility service,Ambulatory surgical center (asc) facility service
   SH,2nd concurrent infusion ther,Second concurrently administered infusion therapy
   SJ,3rd concurrent infusion ther,Third or more concurrently administered infusion therapy
   SK,High risk population,Member of high risk population (use only with codes for immunization)
   SL,State supplied vaccine,State supplied vaccine
   SM,Second opinion,Second surgical opinion
   SN,Third opinion,Third surgical opinion
   SQ,Item ordered by home health,Item ordered by home health
   SS,Hit in infusion suite,Home infusion services provided in the infusion suite of the iv therapy provider
   ST,Related to trauma or injury,Related to trauma or injury
   SU,Performed in phys office,Procedure performed in physician's office (to denote use of facility and equipment)
   SV,Drugs delivered not used,Pharmaceuticals delivered to patient's home but not utilized
   SW,Serv by cert diab educator,Services provided by a certified diabetic educator
   SY,Contact w/high-risk pop,Persons who are in close contact with member of high-risk population (use only with codes for immunization)
   SZ,Habilitative services,Habilitative services
   T1,"Left foot, second digit","Left foot, second digit"
   T2,"Left foot, third digit","Left foot, third digit"
   T3,"Left foot, fourth digit","Left foot, fourth digit"
   T4,"Left foot, fifth digit","Left foot, fifth digit"
   T5,"Right foot, great toe","Right foot, great toe"
   T6,"Right foot, second digit","Right foot, second digit"
   T7,"Right foot, third digit","Right foot, third digit"
   T8,"Right foot, fourth digit","Right foot, fourth digit"
   T9,"Right foot, fifth digit","Right foot, fifth digit"
   TA,"Left foot, great toe","Left foot, great toe"
   TB,Tracking 340b acquired drug,"Drug or biological acquired with 340b drug pricing program discount, reported for informational purposes"
   TC,Technical component,"Technical component; under certain circumstances, a charge may be made for the technical component alone;  under those circumstances the technical component charge is identified by adding modifier 'tc' to the usual procedure number; technical component ch"
   TD,Rn,Rn
   TE,Lpn/lvn,Lpn/lvn
   TF,Intermediate level of care,Intermediate level of care
   TG,Complex/high tech level care,Complex/high tech level of care
   TH,Ob tx/srvcs prenatl/postpart,"Obstetrical treatment/services, prenatal or postpartum"
   TJ,Child/adolescent program gp,"Program group, child and/or adolescent"
   TK,Extra patient or passenger,"Extra patient or passenger, non-ambulance"
   TL,Early intervention ifsp,Early intervention/individualized family service plan (ifsp)
   TM,Individualized ed prgrm(iep),Individualized education program (iep)
   TN,Rural/out of service area,Rural/outside providers' customary service area
   TP,Med transprt unloaded vehicl,"Medical transport, unloaded vehicle"
   TQ,Bls by volunteer amb providr,Basic life support transport by a volunteer ambulance provider
   TR,School-based iep out of dist,School-based individualized education program (iep) services provided outside the public school district responsible for the student
   TS,Follow-up service,Follow-up service
   TT,Additional patient,Individualized service provided to more than one patient in same setting
   TU,Overtime payment rate,"Special payment rate, overtime"
   TV,Holiday/weekend payment rate,"Special payment rates, holidays/weekends"
   TW,Back-up equipment,Back-up equipment
   U1,M/caid care lev 1 state def,"Medicaid level of care 1, as defined by each state"
   U2,M/caid care lev 2 state def,"Medicaid level of care 2, as defined by each state"
   U3,M/caid care lev 3 state def,"Medicaid level of care 3, as defined by each state"
   U4,M/caid care lev 4 state def,"Medicaid level of care 4, as defined by each state"
   U5,M/caid care lev 5 state def,"Medicaid level of care 5, as defined by each state"
   U6,M/caid care lev 6 state def,"Medicaid level of care 6, as defined by each state"
   U7,M/caid care lev 7 state def,"Medicaid level of care 7, as defined by each state"
   U8,M/caid care lev 8 state def,"Medicaid level of care 8, as defined by each state"
   U9,M/caid care lev 9 state def,"Medicaid level of care 9, as defined by each state"
   UA,M/caid care lev 10 state def,"Medicaid level of care 10, as defined by each state"
   UB,M/caid care lev 11 state def,"Medicaid level of care 11, as defined by each state"
   UC,M/caid care lev 12 state def,"Medicaid level of care 12, as defined by each state"
   UD,M/caid care lev 13 state def,"Medicaid level of care 13, as defined by each state"
   UE,Used durable med equipment,Used durable medical equipment
   UF,"Services provided, morning",Services provided in the morning
   UG,"Services provided, afternoon",Services provided in the afternoon
   UH,"Services provided, evening",Services provided in the evening
   UJ,"Services provided, night",Services provided at night
   UK,Svc on behalf client-collat,Services provided on behalf of the client to someone other than the client (collateral relationship)
   UN,Two patients served,Two patients served
   UP,Three patients served,Three patients served
   UQ,Four patients served,Four patients served
   UR,Five patients served,Five patients served
   US,Six or more patients served,Six or more patients served
   V1,Demonstration modifier 1,Demonstration modifier 1
   V2,Demonstration modifier 2,Demonstration modifier 2
   V3,Demonstration modifier 3,Demonstration modifier 3
   V4,Demonstration modifier 4,Demonstration modifier 4
   V5,Vascular catheter,Vascular catheter (alone or with any other vascular access)
   V6,Arteriovenous graft,Arteriovenous graft (or other vascular access not including a vascular catheter)
   V7,Arteriovenous fistula,Arteriovenous fistula only (in use with two needles)
   V8,Infection present,Infection present
   V9,No infection present,No infection present
   VM,Mdpp virtual make-up session,Medicare diabetes prevention program (mdpp) virtual make-up session
   VP,Aphakic patient,Aphakic patient
   X1,Continuous/broad services,"Continuous/broad services: for reporting services by clinicians, who provide the principal care for a patient, with no planned endpoint of the relationship; services in this category represent comprehensive care, dealing with the entire scope of patient p"
   X2,Continuous/focused services,Continuous/focused services: for reporting services by clinicians whose expertise is needed for the ongoing management of a chronic disease or a condition that needs to be managed and followed with no planned endpoint to the relationship; reporting clinic
   X3,Episodic/broad services,Episodic/broad servies: for reporting services by clinicians who have broad responsibility for the comprehensive needs of the patient that is limited to a defined period and circumstance such as a hospitalization; reporting clinician service examples incl
